,,,"프로토타입 외눈박쥐, 고불린, 불타는악마, 이계의김철수 까지",,
,,,,,
,,,,,
몬스터,Mon_ID,Drop_ID,Mon_EXP,Mon_Gold,Mon_DGP
외눈박쥐,Bat_1,00111111,1,10,5
외눈박쥐,Bat_2,00121111,2,11,5
외눈박쥐,Bat_3,00131111,3,12,5
외눈박쥐,Bat_4,00141111,4,13,5
외눈박쥐,Bat_5,00151111,5,14,5
외눈박쥐,Bat_6,00161111,7,17,5
외눈박쥐,Bat_7,00171111,8,18,5
외눈박쥐,Bat_8,00181111,9,19,5
외눈박쥐,Bat_9,00191111,10,20,5
고블린,Goblin_1,00211111,20,100,10
고블린,Goblin_2,00221111,30,200,10
고블린,Goblin_3,00231111,40,300,10
고블린,Goblin_4,00241111,50,400,10
고블린,Goblin_5,00251111,60,500,10
고블린,Goblin_6,00261111,70,600,10
고블린,Goblin_7,00271111,80,700,10
고블린,Goblin_8,00281111,90,800,10
고블린,Goblin_9,00291111,100,900,10
지옥버섯,Mushroom_1,00311111,200,"1,000",
지옥버섯,Mushroom_2,00321111,300,"2,000",
지옥버섯,Mushroom_3,00331111,400,"3,000",
지옥버섯,Mushroom_4,00341111,500,"4,000",
지옥버섯,Mushroom_5,00351111,600,"5,000",
지옥버섯,Mushroom_6,00361111,700,"6,000",
지옥버섯,Mushroom_7,00371111,800,"7,000",
지옥버섯,Mushroom_8,00381111,900,"8,000",
지옥버섯,Mushroom_9,00391111,"1,000","9,000",
해골기사,Skeleton_1,00411111,"2,000","10,000",
해골기사,Skeleton_2,00421111,"3,000","50,000",
해골기사,Skeleton_3,00431111,"4,000","100,000",
해골기사,Skeleton_4,00441111,"5,000","200,000",
해골기사,Skeleton_5,00451111,"6,000","300,000",
해골기사,Skeleton_6,00461111,"7,000","400,000",
해골기사,Skeleton_7,00471111,"8,000","500,000",
해골기사,Skeleton_8,00481111,"9,000","600,000",
해골기사,Skeleton_9,00491111,"10,000","700,000",
죽음의 도래인,Bringer_1,00511111,"20,000","1,000,000",
죽음의 도래인,Bringer_2,00521111,"30,000","3,000,000",
죽음의 도래인,Bringer_3,00531111,"40,000","5,000,000",
죽음의 도래인,Bringer_4,00541111,"50,000","7,000,000",
죽음의 도래인,Bringer_5,00551111,"60,000","10,000,000",
죽음의 도래인,Bringer_6,00561111,"70,000","15,000,000",
죽음의 도래인,Bringer_7,00571111,"80,000","20,000,000",
죽음의 도래인,Bringer_8,00581111,"90,000","25,000,000",
죽음의 도래인,Bringer_9,00591111,"100,000","30,000,000",
불타는악마,Burn,00101111,20,90,
이계의김철수,Culsu,00201111,200,"1,000",
지옥의마법사,Hellwizard,00301111,"2,000","10,000",
타락천사,Angel,00401111,"20,000",1000000,
지옥의수도승,Monk_1,00501111,"200,000","50,000,000",
